texmf-dist/tex/latex/exam-zh/exam-zh.cls:1491:1:1491:139: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1491:22:1491:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1491:111:1491:111: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1494:1:1494:87: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1496:8:1496:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1509:1:1509:140: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1509:112:1509:112: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1512:1:1512:89: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1514:8:1514:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1537:1:1537:106: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1537:19:1537:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1539:1:1539:143: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1539:19:1539:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1539:108:1539:108: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1562:12:1562:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1562:23:1562:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1562:24:1562:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1562:78:1562:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1563:1:1563:86: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1563:69:1563:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1564:1:1564:85: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1564:84:1564:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1565:10:1565:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1565:21:1565:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1581:21:1581:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1581:24:1581:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1587:40:1587:40: s204 missing stylistic whitespaces
